"Name","MAC","Mfg Prefix","Signal","Worst Problem","802.11 Type","Security","Authorization Class","SSIDs","BSSIDs","Channels","Clients","Last Seen"
"NightOwl:542b57-2da93a","NightOwl:542b57-2da93a","NightOwl","--","--","n,g,b","WPA2-P","Unspecified","1","1","1","2","February 22, 2021 at 01:43 PM"
"HewlettP:ace2d3-e09442","HewlettP:ace2d3-e09442","HewlettP","--","--","n,g","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:38 PM"
"Local:8a1514-9bac70","localAdm:8a1514-9bac70","Local","--","--","ac,n,a","WEP,WPA-P,WPA2-P","Unspecified","1","3","1","--","February 22, 2021 at 01:36 PM"
"192.168.1.1","Netgear:3c3786-717db6","Netgear","-44 dBm","--","ax,n,g,b","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:44 PM"
"HewlettP:9c8e99-06d76b","HewlettP:9c8e99-06d76b","HewlettP","--","--","g,b","--","Unspecified","1","1","1","--","February 22, 2021 at 01:43 PM"
"Local:8a1504-9bac7f","localAdm:8a1504-9bac71","Local","--","--","n,g,b","WEP,WPA2-P","Unspecified","1","2","1","--","February 22, 2021 at 01:36 PM"
"172.24.16.46","Netgear:3c3786-717db5","Netgear","-55 dBm","--","ax,ac,n,a","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:44 PM"
"172.24.16.50","TpLinkTe:b04e26-5d5174","Tp-LinkT","-50 dBm","--","ac,n,g,b,a","WPA-P,WPA2-P","Unspecified","2","2","2","--","February 22, 2021 at 01:44 PM"
"ASUSTekC:708bcd-ad96c0","ASUSTek:708bcd-ad96c0","ASUSTekC","--","--","n,g,b","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:39 PM"
"00f196-6e208b","00f196-6e208b","--","--","--","n,g,b","WPA-P,WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:37 PM"
"ArubaaHe:94b40f-072362","HewlettP:94b40f-072362","ArubaaHe","--","--","n,g,b","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:43 PM"
"Technico:603d26-fc1cbd","VantivaU:603d26-fc1cbd","Technico","--","--","n,g,b","WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:43 PM"
"BelkinIn:c4411e-bcca02","BelkinIn:c4411e-bcca02","BelkinIn","-46 dBm","--","ax,ac,n,g,b,a","WPA2-P,WPA3-P","Unspecified","2","2","2","--","February 22, 2021 at 01:44 PM"
"10.24.23.89","Sonicwal:18b169-c8eb02","Sonicwal","-48 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","2","4","2","1","February 22, 2021 at 01:44 PM"
"10.24.23.90","Sonicwal:18b169-c83f22","Sonicwal","-56 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","2","4","2","1","February 22, 2021 at 01:44 PM"
"ArubaaHe:24dec6-3ea360","HewlettP:24dec6-3ea360","ArubaaHe","-67 dBm","Warning(s) 3","n,g,b,a","WPA2-P,WPA2-E","Unspecified","3","6","2","--","February 22, 2021 at 01:44 PM"
"ArubaaHe:9c1c12-255563","HewlettP:9c1c12-255562","ArubaaHe","--","--","n,g,b,a","WPA2-P,WPA2-E","Unspecified","2","4","2","--","February 22, 2021 at 01:33 PM"
"Pegatron:ecaaa0-360068","Pegatron:ecaaa0-360068","Pegatron","-56 dBm","--","ac,n,g,b,a","Open,WPA-P,WPA2-P,WPA2-E","Unspecified","4","4","2","--","February 22, 2021 at 01:44 PM"
"ASUSTekC:d017c2-327f68","ASUSTek:d017c2-327f68","ASUSTekC","-46 dBm","--","ac,n,g,b,a","Open","Unspecified","2","2","2","--","February 22, 2021 at 01:44 PM"
"NovatelW:2880a2-68ea6f","NovatelW:2880a2-68ea6e","NovatelW","-76 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","1","2","2","--","February 22, 2021 at 01:44 PM"
"Actionte:00247b-946b7f","Actionte:00247b-946b7f","Actionte","-61 dBm","--","n,g,b","WPA-P","Unspecified","1","1","1","1","February 22, 2021 at 01:44 PM"
"ArubaaHe:24dec6-3ea280","HewlettP:24dec6-3ea280","ArubaaHe","-70 dBm","Warning(s) 3","n,g,b,a","WPA2-P,WPA2-E","Unspecified","3","6","2","2","February 22, 2021 at 01:44 PM"
"10.24.23.87","Sonicwal:18b169-c8e086","Sonicwal","-44 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","2","4","2","1","February 22, 2021 at 01:44 PM"
"10.24.23.88","Sonicwal:18b169-c8e5da","Sonicwal","-56 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","2","4","2","--","February 22, 2021 at 01:44 PM"
"Ubiquiti:18e829-92e105","Ubiquiti:18e829-91e105","Ubiquiti","-70 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","3","6","2","4","February 22, 2021 at 01:44 PM"
"Cisco-Li:48f8b3-147085","CiscoLin:48f8b3-147085","Cisco-Li","-54 dBm","--","g,b","WPA-P,WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:44 PM"
"ArubaaHe:84d47e-ebb561","HewlettP:84d47e-ebb560","ArubaaHe","-71 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","2","4","2","1","February 22, 2021 at 01:44 PM"
"Verizon:485d36-8f365a","Verizon:485d36-8f3658","Verizon","--","--","ac,n,g,b,a","WPA2-P","Unspecified","3","3","2","--","February 22, 2021 at 01:38 PM"
"HewlettP:101f74-80a36c","HewlettP:101f74-80a36c","HewlettP","--","--","g,b","--","Unspecified","1","1","1","--","February 22, 2021 at 01:43 PM"
"Local:8a1514-9bab90","localAdm:8a1514-9bab90","Local","-78 dBm","--","ac,n,a","WEP,WPA-P,WPA2-P","Unspecified","1","3","1","--","February 22, 2021 at 01:44 PM"
"WA-EVERETT-AP7_","Cisco:843dc6-baf401","Cisco","--","--","ac,n,a","WPA2-P,WPA2-E","Unspecified","3","4","1","--","February 22, 2021 at 01:37 PM"
"CiscoMer:683a1e-321628","CiscoMer:683a1e-321628","CiscoMer","-69 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","3","6","2","5","February 22, 2021 at 01:44 PM"
"ASUSTekC:9c5c8e-89c28c","ASUSTek:9c5c8e-89c288","ASUSTekC","-62 dBm","--","ac,n,g,b,a","Open","Unspecified","2","2","2","--","February 22, 2021 at 01:44 PM"
"Local:6a3a0e-321523","CiscoMer:683a1e-321523","Local","-77 dBm","--","ac,n,g,b,a","WPA2-P","Unspecified","4","6","2","2","February 22, 2021 at 01:44 PM"
"Local:068dcb-6f4f4a","CiscoMer:0c8ddb-6f4f4a","Local","-72 dBm","--","ac,n,g,b,a","Open,WPA2-E","Unspecified","3","6","2","--","February 22, 2021 at 01:44 PM"
"Pegatron:c07cd1-bb1842","Pegatron:c07cd1-bb1840","Pegatron","-75 dBm","--","ac,n,a","Open,WPA-P,WPA2-P,WPA2-E","Unspecified","3","3","1","1","February 22, 2021 at 01:44 PM"
"WA-EVERETT-AP5_","Cisco:843dc6-721511","Cisco","--","--","ac,n,g,b,a","WPA2-P,WPA2-E","Unspecified","3","7","2","--","February 22, 2021 at 01:36 PM"
"Netgear:744401-2ce3ee","Netgear:744401-2ce3ee","Netgear","--","--","n,g,b","WPA-P","Unspecified","1","1","1","--","February 22, 2021 at 01:39 PM"
"Pegatron:c07cd1-bb1838","Pegatron:c07cd1-bb1838","Pegatron","--","--","n,g,b","WPA-P,WPA2-P","Unspecified","1","1","1","--","February 22, 2021 at 01:37 PM"
"Local:8a1504-9bab91","localAdm:8a1504-9bab90","Local","--","--","n,g,b","WEP,WPA-P,WPA2-P","Unspecified","1","3","1","--","February 22, 2021 at 01:37 PM"