"Mfg-MAC Address","SSID","BSSID","Name","Signal","SNR","Worst Problem","IPv4","IPv6","Channel","Band","Authorization Class","802.11 Type","Security","Retries","AP","Last Seen"
"NetAlly:00c017-5307ff","LRG","Sonicwal:18b169-c83f23","Julio's Demo EtherScope nXG","-20 dBm","69 dB","--","10.24.23.127","fe80::2c0:17ff:fe53:7fc","40","5 GHz","Unspecified","ac,n,a","WPA2-P","0 %","10.24.23.90","Feb 22,2021 01:43PM"
"Local:0241b0-c8ff17","moog1","Actionte:00247b-946b7f","Local:0241b0-c8ff17","-73 dBm","17 dB","--","--","--","1","2.4 GHz","Unspecified","n","WPA-P","0 %","Actionte:00247b-946b7f","Feb 22,2021 01:43PM"
"Local:7acc06-629185","LRG","Sonicwal:18b169-c8e087","Android","-39 dBm","51 dB","--","10.24.23.125","--","149","5 GHz","Unspecified","ax,ac,n,a","WPA2-P","0 %","10.24.23.87","Feb 22,2021 01:44PM"
"Local:7e58eb-a664cf","MOOG1951","ArubaaHe:24dec6-3ea280","Local:7e58eb-a664cf","--","--","--","--","--","1","2.4 GHz","Unspecified","n","WPA2-E","0 %","ArubaaHe:24dec6-3ea280","--"
"HewlettP:101f74-80a36c","HPE710n.80A36C","--","HewlettP:101f74-80a36c","-59 dBm","31 dB","--","--","--","6","2.4 GHz","Unspecified","g,b","--","0 %","--","Feb 22,2021 01:43PM"
"Local:eaa0d6-0ecdf9","LRG","Sonicwal:18b169-c8eb03","Local:eaa0d6-0ecdf9","-70 dBm","20 dB","--","--","--","161","5 GHz","Unspecified","n","WPA2-P","0 %","10.24.23.89","Feb 22,2021 01:43PM"
"Local:7a9bec-f182b5","Corporate Wi-Fi","Ubiquiti:18e829-92e105","Local:7a9bec-f182b5","--","--","--","--","--","48","5 GHz","Unspecified","ax,ac,n,a","WPA2-P","0 %","Ubiquiti:18e829-92e105","Feb 22,2021 01:38PM"
"NightOwl:542b57-2d8a4c","NVR542b572da93a","NightOwl:542b57-2da93a","NightOwl:542b57-2d8a4c","--","--","--","--","--","11","2.4 GHz","Unspecified","--","WPA2-P","0 %","NightOwl:542b57-2da93a","--"
"IntelCor:00c2c6-8d97a3","srmwifi","CiscoMer:683a1e-321628","IntelCor:00c2c6-8d97a3","--","--","--","--","--","1","2.4 GHz","Unspecified","n,g,b","WPA2-P","0 %","CiscoMer:683a1e-321628","Feb 22,2021 01:38PM"
"HewlettP:9c8e99-06d76b","HP06D76B","--","HewlettP:9c8e99-06d76b","-76 dBm","14 dB","--","--","--","1","2.4 GHz","Unspecified","g,b","--","0 %","--","Feb 22,2021 01:43PM"
"Shenzhen:54ef92-b88add","SRMSTF-1","Local:6e3a1e-321628","Shenzhen:54ef92-b88add","--","--","--","--","--","1","2.4 GHz","Unspecified","n,g,b","WPA2-P","0 %","CiscoMer:683a1e-321628","Feb 22,2021 01:37PM"
"Local:de9bc2-bd0e90","SRMSTF-1","Local:6e3a0e-321628","Local:de9bc2-bd0e90","--","--","--","--","--","112","5 GHz","Unspecified","--","WPA2-P","0 %","CiscoMer:683a1e-321628","Feb 22,2021 01:15PM"
"IntelCor:4c1d96-38974e","MOOG1951","ArubaaHe:24dec6-3ea288","IntelCor:4c1d96-38974e","-72 dBm","18 dB","--","--","--","149","5 GHz","Unspecified","ax,ac,n,a","WPA2-E","0 %","ArubaaHe:24dec6-3ea280","Feb 22,2021 01:44PM"
"NightOwl:542b57-2da505","NVR542b572da93a","NightOwl:542b57-2da93a","NightOwl:542b57-2da505","--","--","--","--","--","11","2.4 GHz","Unspecified","--","WPA2-P","0 %","NightOwl:542b57-2da93a","--"
"Apple:70700d-c7d35e","xfinitywifi","Pegatron:c07cd1-bb1841","Apple:70700d-c7d35e","--","--","--","--","--","157","5 GHz","Unspecified","--","Open","0 %","Pegatron:c07cd1-bb1842","--"
"AmazonTe:149138-cfae2f","Corporate Wi-Fi","Ubiquiti:18e829-92e105","AmazonTe:149138-cfae2f","--","--","--","--","--","48","5 GHz","Unspecified","--","WPA2-P","0 %","Ubiquiti:18e829-92e105","Feb 22,2021 01:39PM"
"Local:fe6a30-0b8991","srmguest","Local:623a0e-321628","Local:fe6a30-0b8991","--","--","--","--","--","112","5 GHz","Unspecified","--","WPA2-P","0 %","CiscoMer:683a1e-321628","Feb 22,2021 01:15PM"
"Local:16f874-e93d0c","Corporate Wi-Fi","Ubiquiti:18e829-92e105","Local:16f874-e93d0c","--","--","--","--","--","48","5 GHz","Unspecified","--","WPA2-P","0 %","Ubiquiti:18e829-92e105","Feb 22,2021 01:37PM"
"SamsungE:007c2d-275d1b","srmwifi","Local:6a3a0e-321523","SamsungE:007c2d-275d1b","-77 dBm","13 dB","--","--","--","161","5 GHz","Unspecified","n","WPA2-P","0 %","Local:6a3a0e-321523","Feb 22,2021 01:43PM"
"Local:36276f-b9c108","SRMSTF-1","Local:6e3a0e-321523","Local:36276f-b9c108","--","--","--","--","--","161","5 GHz","Unspecified","--","WPA2-P","0 %","Local:6a3a0e-321523","--"
"Local:eaa014-9f16f1","Innovation_Guest","ArubaaHe:84d47e-ebb571","Local:eaa014-9f16f1","--","--","--","--","--","52","5 GHz","Unspecified","--","WPA2-P","0 %","ArubaaHe:84d47e-ebb561","Feb 22,2021 01:32PM"
"Apple:f0766f-746fa1","SRMSTF-1","Local:6e3a0e-321628","Apple:f0766f-746fa1","--","--","--","--","--","112","5 GHz","Unspecified","--","WPA2-P","0 %","CiscoMer:683a1e-321628","Feb 22,2021 01:37PM"
"SamsungE:dc8983-03b059","Corporate Wi-Fi","Ubiquiti:18e829-92e105","SamsungE:dc8983-03b059","--","--","--","--","--","48","5 GHz","Unspecified","n","WPA2-P","0 %","Ubiquiti:18e829-92e105","--"